WikidataITEM,CountryIsoCode,countryLabel,WikidataLabel,Continent,FormerColony,hdi,mobilityScore,loc,lat,long
http://www.wikidata.org/entity/Q1042,SYC,Seychelles,Seychelles,Africa,True,796.0,90.0,Sesel,-4.6574977,55.4540146
http://www.wikidata.org/entity/Q928,PHL,Philippines,Philippines,Asia,True,718.0,53.0,Philippines,12.7503486,122.7312101
,,Isle of Man,,,,,,Isle of Man,54.1936805,-4.5591148
http://www.wikidata.org/entity/Q423,PRK,North Korea,North Korea,Asia,True,,43.0,조선민주주의인민공화국,40.3736611,127.0870417
http://www.wikidata.org/entity/Q419,PER,Peru,Peru,Latin_America_and_Caribbean,True,777.0,84.0,Perú,-6.8699697,-75.0458515
http://www.wikidata.org/entity/Q1014,LBR,Liberia,Liberia,Africa,True,0.48,47.0,Liberia,5.7499721,-9.3658524
http://www.wikidata.org/entity/Q736,ECU,Ecuador,Ecuador,Latin_America_and_Caribbean,True,759.0,75.0,Ecuador,-1.3397668,-79.3666965
,,Metropolitan France,,,,,,"France métropolitaine, France",46.819274199999995,1.8746201195586674
,,Bermuda,,,,,,Bermuda,32.30382,-64.7561647
http://www.wikidata.org/entity/Q921,BRN,Brunei,Brunei,Asia,True,838.0,92.0,Brunei,4.4137155,114.5653908
,,Gilbert and Ellice Islands,,,,,,,,
http://www.wikidata.org/entity/Q236,MNE,Montenegro,Montenegro,Europe,,829.0,73.0,Crna Gora / Црна Гора,42.9868853,19.5180992
http://www.wikidata.org/entity/Q851,SAU,Saudi Arabia,Saudi Arabia,Asia,False,854.0,70.0,السعودية,25.6242618,42.3528328
http://www.wikidata.org/entity/Q672,TUV,Tuvalu,Tuvalu,Oceania,,,76.0,Tuvalu,-8.6405212,179.1582918181797
http://www.wikidata.org/entity/Q213,CZE,Czechia,Czech Republic,Europe,,0.9,132.0,Česko,49.7439047,15.3381061
http://www.wikidata.org/entity/Q298,CHL,Chile,Chile,Latin_America_and_Caribbean,True,851.0,98.0,Chile,-31.7613365,-71.3187697
http://www.wikidata.org/entity/Q778,BHS,Bahamas,The Bahamas,Latin_America_and_Caribbean,True,814.0,92.0,The Bahamas,24.7736546,-78.0000547
http://www.wikidata.org/entity/Q683,WSM,Samoa,Samoa,Oceania,,715.0,77.0,Sāmoa,-13.7693895,-172.12005
,,Martinique,,,,,,"Martinique, France",14.6367927,-61.01582685063731
http://www.wikidata.org/entity/Q184,,Belarus,Belarus,,,823.0,71.0,Беларусь,53.4250605,27.6971358
http://www.wikidata.org/entity/Q953,ZMB,Zambia,Zambia,Africa,True,584.0,63.0,Zambia,-14.5189121,27.5589884
http://www.wikidata.org/entity/Q262,DZA,Algeria,Algeria,Africa,True,748.0,53.0,Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر,28.0000272,2.9999825
http://www.wikidata.org/entity/Q766,JAM,Jamaica,Jamaica,Latin_America_and_Caribbean,True,734.0,76.0,Jamaica,18.1850507,-77.3947693
http://www.wikidata.org/entity/Q34,SWE,Sweden,Sweden,Europe,,945.0,134.0,Sverige,59.6749712,14.5208584
http://www.wikidata.org/entity/Q1020,MWI,Malawi,Malawi,Africa,True,483.0,63.0,Malawi,-13.2687204,33.9301963
http://www.wikidata.org/entity/Q40,AUT,Austria,Austria,Europe,,922.0,134.0,Österreich,47.59397,14.12456
,,Dahomey,,,,,,Bénin,9.5293472,2.2584408
http://www.wikidata.org/entity/Q142,FRA,France,France,Europe,,901.0,133.0,France,46.603354,1.8883335
http://www.wikidata.org/entity/Q929,CAF,Central African Republic,Central African Republic,Africa,True,397.0,47.0,Ködörösêse tî Bêafrîka - République Centrafricaine,7.0323598,19.9981227
,,Faroes,,,,,,Føroyar,62.0448724,-7.0322972
http://www.wikidata.org/entity/Q822,LBN,Lebanon,Lebanon,Asia,True,744.0,44.0,لبنان,33.8750629,35.843409
,,United States Minor Outlying Islands,,,,,,"United States Minor Outlying Islands, United States",16.7288207,-169.5333824
http://www.wikidata.org/entity/Q1037,RWA,Rwanda,Rwanda,Africa,True,543.0,59.0,Rwanda,-1.9646631,30.0644358
http://www.wikidata.org/entity/Q224,HRV,Croatia,Croatia,Europe,,851.0,127.0,Hrvatska,45.3658443,15.6575209
,,Turks and Caicos Islands,,,,,,Turks and Caicos Islands,21.721746,-71.5527809
http://www.wikidata.org/entity/Q819,LAO,Laos,Laos,Asia,True,613.0,46.0,ປະເທດລາວ,20.0171109,103.378253
,,US Virgin Islands,,,,,,"United States Virgin Islands, United States",17.789187,-64.7080574
http://www.wikidata.org/entity/Q889,AFG,Afghanistan,Afghanistan,Asia,False,511.0,30.0,افغانستان,33.7680065,66.2385139
http://www.wikidata.org/entity/Q977,DJI,Djibouti,Djibouti,Africa,True,524.0,45.0,Djibouti جيبوتي,11.8145966,42.8453061
http://www.wikidata.org/entity/Q796,IRQ,Iraq,Iraq,Asia,True,674.0,31.0,العراق,33.0955793,44.1749775
http://www.wikidata.org/entity/Q398,BHR,Bahrain,Bahrain,Asia,True,852.0,75.0,البحرين,26.1551249,50.5344606
http://www.wikidata.org/entity/Q26273,SXM,Sint Maarten,Sint Maarten,Latin_America_and_Caribbean,True,,,"Sint Maarten, Nederland",18.0423736,-63.0549948
http://www.wikidata.org/entity/Q878,ARE,United Arab Emirates,United Arab Emirates,Asia,True,0.89,120.0,الإمارات العربية المتحدة,24.0002488,53.9994829
,,"Saint Helena, Ascension and Tristan da Cunha",,,,,,"Saint Helena, Sandy Bay, Saint Helena, STHL 1ZZ, Saint Helena, Ascension and Tristan da Cunha",-15.9694573,-5.7129442
,,British Antarctic Territory,,,,,,British Antarctic Territory,-72.5028409,-50.0
,,Zaire,,,,,,République démocratique du Congo,-2.9814344,23.8222636
http://www.wikidata.org/entity/Q244,BRB,Barbados,Barbados,Latin_America_and_Caribbean,True,814.0,96.0,Barbados,13.1500331,-59.5250305
http://www.wikidata.org/entity/Q710,KIR,Kiribati,Kiribati,Oceania,,0.63,74.0,Kiribati,0.3448612,173.6641773
http://www.wikidata.org/entity/Q27,IRL,Ireland,Ireland,Europe,,955.0,134.0,Éire / Ireland,52.865196,-7.9794599
,,US Miscellaneous Pacific Islands,,,,,,,,
http://www.wikidata.org/entity/Q874,TKM,Turkmenistan,Turkmenistan,Asia,True,715.0,52.0,Türkmenistan,39.3763807,59.3924609
http://www.wikidata.org/entity/Q1011,CPV,Cabo Verde,Cape Verde,Africa,True,665.0,59.0,Cabo Verde,16.0000552,-24.0083947
,,Heard Island and McDonald Islands,,,,,,"Heard Island and McDonald Islands, Australia",-53.0166353,72.955751
http://www.wikidata.org/entity/Q717,VEN,Venezuela,Venezuela,Latin_America_and_Caribbean,True,711.0,79.0,Venezuela,8.0018709,-66.1109318
,,Cocos (Keeling) Islands,,,,,,"Cocos (Keeling) Islands / Pulu Kokos (Keeling), Australia",-12.0728315,96.8409375
http://www.wikidata.org/entity/Q986,ERI,Eritrea,Eritrea,Africa,True,459.0,41.0,ኤርትራ Eritrea إرتريا,15.9500319,37.9999668
